0400044;Công ty Cổ Phần Constrexim  Số 1 ( Confitech);0101615761;Tầng 13 Tòa Nhà TTC- Phố Duy Tân-P.Dịch Vọng Hậu, Q.Cầu Giấy-TP-HN;;
0400046;Công ty TNHH Đầu Tư Phát Triển Kỹ Thuật Minh Long;0106154257;Số 29 ngõ 67 Nguyễn Văn Cừ, P. Ngọc Lâm, Q. Long Biên, TP Hà Nội;;
0400047;Công Ty Cổ Phần Cầu 12-Cienco 1;0100104651;Số 463 Nguyễn Văn Linh, P. Phúc Đồng, Q. Long Biên - TP Hà Nội;;
0400048;Công ty CP Xây Dựng Công Trình Thủy Hà Nội;0101708991;SN 43 Liên Cơ, Đ.Nguyễn Cơ Thạch, P.Cầu Diễn, Q.Nam Từ Liêm, TP Hà Nội;;
0400049;Công Ty Cổ Phần Tư Vấn XD  & Chuyển Giao Công Nghệ;0102722759;Số 2, Ngõ 162/34/9 Nguyễn Văn Cừ, P. Bồ Đề, Q. Long Biên, Hà Nội;;
0400050;Công Ty CP XD Hạ Tầng Giao Thông Thủy Lợi Hà Nội;0101482550;Nhà N22 + 23, Đường Quảng Khánh, P. Quảng An, Q .Tây Hồ, TP Hà Nội;;
0400051;CN Tổng CTy XD và PT Hạ Tầng- Cty KT Nền Móng và XD 20;0100106440-010;Số 61E La Thành, Quận Đống Đa, Hà Nội;;
0400052;Công ty CP Phát Triển Xây Dựng Và TM  Thuận An;0101520598;Số141,Đ. Trường Chinh,Tổ 20, P.Phương Liệt, Q.Thanh Xuân, TP- Hà Nội;;
0400056;Công Ty TNHH Một Thành Viên 319.2;0105870441;Số 145/154, Đường Ngọc Lâm, Phường Ngọc Lâm, Q. Long Biên, TP- Hà Nội;;
0400057;Công ty Cổ Phần Công Trình Đường Thủy - Vinawaco;0100109593;Số 159 Phố Thái Hà, Phường Láng Hạ, Q. Đống Đa TP- Hà Nội;;
0400058;Công Ty CPTM và Tư Vấn Tân Cơ;0101021398;Số 92, Phố Yết Kiêu, P Nguyễn Du, Q Hai Bà Trưng, TP Hà Nội;;
0400059;Nguyễn Xuân Khu;;;;
0400060;Chi Nhánh 2- Công Ty TNHH MTV ĐT Và PT Trường An;0101371970-003;33 Phạm Ngũ Lão, P. Phan Chu Trinh, Q Hoàn Kiếm, Hà Nội;;
0400061;Công ty Cổ Phần Xây Dựng & Kỹ Thuật Thuận Thành;0105184812;Số 2, Ngõ 94 Đường Núi Đôi, Thị Trấn Sóc Sơn, H. Sóc Sơn, TP. Hà Nội;;
0400062;Công ty Cổ Phần Tập Đoàn Quốc Tế Đông á;0101933309;Số 85, Phố Nguyễn Văn Trỗi, P. Phương Liệt, Q. Thanh Xuân, TP. Hà Nội;;
0400063;Công ty Cổ Phần Đầu Tư Và Thương Mại Lam Giang;0201138985;Khu Đô Thị Mới Long Sơn, P. Quán Toan, Q. Hồng Bàng, TP. Hải Phòng;;
0400064;Công ty Cổ Phần Tập Đoàn Quốc Tế Đông á;0101933309;Số 85, Phố Nguyễn Văn Trỗi, P. Phương Liệt, Q. Thanh Xuân, TP. Hà Nội;;
0400065;Công Ty CP Xây Dựng Công Trình Thủy Hà Nội;0101708991;SN 43 Liên Cơ, Đ.Nguyễn Cơ Thạch, P.Cầu Diễn, Q.Nam Từ Liêm, TP Hà Nội;;
0400066;Công Ty Cổ Phần Công Trình Đường Thủy Vinawaco;0100109593;Số 159 Phố Thái Hà, Phường Láng Hạ, Q. Đống Đa TP- Hà Nội;;
0400067;Công ty TNHH Một Thành Viên Xây Lắp Điện 4;0100100872;Tổ 1 Thị Trấn Đông Anh, H. Đông Anh, TP. Hà Nội;;
0400068;Công ty Cổ Phần Phát Triển Đầu Tư Hà Nội;0101126778;Lô đất Nơ 4.5, Đường Lê Văn Lương, P.Nhân Chính, Q. Thanh Xuân, Hà Nội;;
0400069;Công Ty TNHH Xây Dựng Minh Chính;0313234729;43 R22 Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TP. HCM;;
0400070;Chi Nhánh 2- Công ty CP Đầu Tư Xây Dựng & Phát Triển Trường An;0101371970-003;33 Phạm Ngũ Lão, P. Phan Chu Trinh, Q. Hoàn Kiếm, TP. Hà Nội;;
0400071;Công ty Cổ Phần Công Trình Đường Thủy- Vinawaco;0100109593;Số 159 , Phố Thái Hà, P. Láng Hạ, Q. Đống Đa, TP. Hà Nội;;
0400072;Công ty CPTM DV BAILAN Việt Nam;0106905697;Số 16, Tổ 45, Ngõ 12 Khuất Duy Tiến, Thanh Xuân Trung, Thanh Xuân, HN;;
0400073;Công ty Xây Dựng Và Đầu Tư Bạch Đằng 6;0200157840-007;SN 4 Ngõ 583, Đ. Nguyễn Trãi, P. Thanh Xuân Nam, Q. Thanh Xuân, TP. Hà Nội;;
053;Quảng Trị;;;;
0530001;Công Ty TNHH Xây Dựng PVN;3100483074;Khu phố 1, TT Ba Đồn, H Quảng Trạch, Quảng Bình;;
058;Khánh Hòa;;;;
0580001;Công ty TNHH Tư Vấn Kiến Trúc và XD An Phát;4200528926;Nhà B1 Chung Cư  Số 02 Lê Hồng Phong, TP- Nha Trang;;
0580002;Doanh Nghiệp Tư Nhân Hoàng Huy Phát;4200653934;272 B Thống Nhất, Nha Trang, Khánh Hòa;;
0580003;Công ty CP Đầu Tư TM và XD  Giao Thông Khánh Hòa;4201593318;Tổ 5 Thị Trấn Khánh Vĩnh, Huyện Khánh Vĩnh, Tỉnh Khánh Hòa;;
0580004;Công Ty Cổ Phần Đầu Tư Và Xây Dựng 25 Khánh Hòa;4201596446;Số 21 Lê Hồng Phong-TT Khánh Vĩnh-H. Khánh Vĩnh-T.Khánh Hòa;;
0580005;Công Ty TNHH Thắng Lợi;4200431201;49A Lê Hồng Phong- Phường Phước Tân, TP- Nha Trang- Tỉnh Khánh Hòa;;
0580006;DNTN Trần Ngọc Hòa;4200548785;270B Thống Nhất, Nha Trang, Khánh Hòa;;
080;TP. Hồ Chí Minh;;;;
0800001;Nguyễn Mạnh Thuật;;;;
0800002;Cty TNHH Thương Mại Kim Tín;0301911983;69 Nguyễn Thi, P13 Quận 5 Tp-HCM;;
0800003;Cty TNHH TM Thép Nam Việt;0301985093;67 Xuân Hồng - Phường 12 - Quận Tân Bình - TP - HCM;;
0800004;CTy TNHH TM & Sản Xuất Thép Việt;0301121174;289 Lý Thường Kiệt- P15 - Quận 11, TP - HCM;;
0800005;Công Ty TNHH TM Tân Nghệ An;0303098763;73 Cao Thắng - P13 Quận 3 TP - HCM;;
0800006;Cty TNHH TM Thép Toàn Thắng;0301424404;8/42 Nguyễn đình Khơi, P4 , Tân Bình TP -CM;;
0800007;Công ty CP Sản Xuất và Thương Mại Thép Nguyễn Minh;0301805248;D6/31 Âp 4 Thị Trấn Tân Trúc, Bình Chánh TP - HCM;;
0800008;Công Ty TNHH XD TM Hoàng Hảo;0302073170;81 Đường 41 Phường 16 Q8, TP -HCM;;
0800009;CN CTy CP VTư HGiang Tại TP - HCM;1800506679-007;166 Bình Lợi, P 13, Bình Thạnh  TP -HCM;;
0800010;CTy TNHH Thành Lợi;0301899694;78 Ngô Quyền P5, Q10 TP - HCM;;
0800011;Nguyễn Văn Dũng;;;;
0800012;XN Vận Tải & Kinh Doanh Tổng Hợp;0300607067003;30 Kha Vạn Cân , P Hiệp - Bình Chánh TP -HCM;;
0800013;Cty TNHH Bình Phương;3600804872;ấp Bình Thạch, Xã Bình Hoà - Huyện Vĩnh Cửu TP - HCM;;
0800014;Đặng Quốc Phong;;;;
